기능명,구분 2,구분1,연관기능,우선순위,텍스트
예약 보드,예약보드,예약,,1순위,
디자이너 포트폴리오,포트폴리오,구인구직,,,
자재목록,자재주문,자재,,,
스타일 미리보기,스타일,고객,,,
사진/동영상,시술내역,고객관리,,1순위,
고객목록,고객정보,설정,,,
시술목록,시술정보,설정,,,
,,홍보/소통,,,
직원목록,직원정보,설정,,,
매장목록,매장정보,설정,,,
자동 모자이크,시술내역,고객관리,얼굴 변경 (https://www.notion.so/11424aca6dd780bfb46fef1f775628d8?pvs=21),2순위,수동 모자이크 우선 제공
시술내역 목록,시술내역,고객관리,,,
리뷰 게시 동의,시술내역,고객관리,쿠폰 (https://www.notion.so/11424aca6dd7803a87f9ce377dbf61ef?pvs=21),,"동의시 쿠폰 지급
쿠폰 비용 지원"
얼굴 변경,리뷰,고객,"자동 모자이크 (https://www.notion.so/11424aca6dd780cab6bcef04c0dc1bc3?pvs=21), AI 얼굴 변경 (https://www.notion.so/AI-11424aca6dd780c08a40d5740ff6002a?pvs=21)",,
리뷰 게시 동의,리뷰,고객,,,
,매장정보,고객,,,
디자이너 목록,디자이너 정보,고객,,,
리뷰 작성,리뷰,고객,,,
자동결제,결제정보,고객,,,
,리뷰,고객,,,
예약 연동(네이버),예약보드,예약,,1순위,
예약 변경 Drag&drop,예약보드,예약,,2순위,
전화기록 분석으로 자동생성,예약보드,예약,,3순위,
고객등록/수정,고객정보,설정,,,
고객목록 불러오기,고객정보,설정,,,
고객목록 내보내기,고객정보,설정,,미정,
채용공고 게시,채용공고,구인구직,,,
,전자계약,구인구직,,,
,노무 상담,구인구직,,,
,포트폴리오,구인구직,,,
주문 수량 연동,재고관리,자재,,,
평균 단가,재고관리,자재,,,
구독 관리,주문관리,자재,,,
주문 관리,주문관리,자재,,,
업체목록,자재주문,자재,,,
월 구독하기,자재주문,자재,,,
공동구매,자재주문,자재,,,1인 매장 지원
장바구니,자재주문,자재,,,
견적 받기,자재주문,자재,,,
블랙리스트,고객정보,설정,,,
회원권,결제정보,고객,,,
쿠폰,결제정보,고객,리뷰 게시 동의 (https://www.notion.so/11424aca6dd7806db1f2c6450da05feb?pvs=21),,
비교견적 제출,,Vendor,,,
,메시지/알림톡/푸쉬,고객관리,,,
상품 등록,,Vendor,,,
사진/동영상,리뷰,고객,,,
AI 얼굴 변경,시술내역,고객관리,얼굴 변경 (https://www.notion.so/11424aca6dd780bfb46fef1f775628d8?pvs=21),2순위,수동 모자이크 우선 제공
구독 관리,,Vendor,,,
리스트 상위 노출,,Vendor,,,
직급설정,직원정보,설정,,,
예약 정보 입력,예약보드,예약,,1순위,
